Date,BTC-open,BTC-high,BTC-low,BTC-close,BTC-vol,BTC-marcap,ETH-open,ETH-high,ETH-low,ETH-close,ETH-vol,ETH-marcap
5-Jun-20,"9,800.22","9,869.24","9,663.22","9,665.53","23,509,628,646","177,801,825,145",244.35,247.33,240.68,241.22,"9,293,963,914","26,830,954,614"
4-Jun-20,"9,655.85","9,887.61","9,525.25","9,800.64","25,921,805,072","180,276,153,545",244.11,245.93,236.77,244.43,"10,170,414,304","27,184,018,611"
3-Jun-20,"9,533.76","9,682.86","9,471.85","9,656.72","25,007,459,262","177,619,631,126",237.4,244.18,235.46,244.18,"9,861,760,817","27,153,238,868"
2-Jun-20,"10,162.97","10,182.34","9,460.57","9,529.80","39,137,252,109","175,277,218,229",246.83,252.22,233.23,237.22,"13,782,107,567","26,376,031,890"
1-Jun-20,"9,463.61","10,199.56","9,450.90","10,167.27","35,198,901,068","186,993,405,740",230.86,248.24,230.49,246.99,"13,951,727,936","27,459,257,209"
31-May-20,"9,700.11","9,700.34","9,432.30","9,461.06","27,773,290,299","173,997,151,930",242.35,244.05,230.05,230.98,"12,234,904,813","25,675,542,329"
30-May-20,"9,438.91","9,704.03","9,366.73","9,700.41","32,722,975,141","178,390,129,758",220.72,243.94,218.74,242.35,"15,027,397,867","26,936,114,604"
29-May-20,"9,528.36","9,573.67","9,379.34","9,439.12","32,896,642,044","173,575,756,364",219.93,224.22,218.24,220.68,"12,265,816,557","24,524,484,269"
28-May-20,"9,184.94","9,546.32","9,148.46","9,525.75","34,367,073,114","175,161,235,290",208.89,220.28,206.24,219.84,"12,212,469,604","24,428,738,047"
27-May-20,"8,837.38","9,203.32","8,834.16","9,181.02","32,740,536,902","168,814,700,531",201.89,208.86,201.79,208.86,"10,631,034,756","23,206,144,127"
26-May-20,"8,909.59","8,991.97","8,757.29","8,835.05","29,584,186,947","162,445,535,235",205.26,205.75,200.26,201.9,"10,159,741,290","22,429,962,991"
25-May-20,"8,786.11","8,951.01","8,719.67","8,906.93","31,288,157,264","163,760,453,116",201.98,206.36,200.67,205.32,"10,415,044,124","22,806,813,423"
24-May-20,"9,212.28","9,288.40","8,787.25","8,790.37","32,518,803,300","161,610,414,643",208.72,210.6,202.37,202.37,"11,833,299,572","22,476,471,750"
